Job Title,Company Name,Classification,Job Type,Location,Job Highlights,Job Description,Salary,Posting Date,Reference
Asset Configuration Coordinator,Service Stream Limited,Business/Systems Analysts,Full time job,Rockdale,"['Key long-term project working on some of the most iconic structures', 'Additional paid leave including parental, cultural, purchased and volunteering', 'Extensive rewards – supermarket, retail, private health insurance, travel']",We are seeking an Asset Configuration Coordinator to coordinate our configuration activities from our Rockdale location!,Not Provided,5d ago,https://www.seek.com.au/job/80767239?type=standout&ref=search-standalone
Data Modeller- HR Data,Correlate Resources,Database Development & Administration,Full time job,Sydney NSW,"['HR AND PAYROLL DATA!!', 'GOOGLE CLOUD PLATFORM EXPERIENCE', 'SYDNEY BASED CONTRACT ROLE- FIN TECH']","Join a fantastic team within a challenging environment, having access to cutting edge technology and continual career development and growth.",Not Provided,5d ago,https://www.seek.com.au/job/80767246?type=standout&ref=search-standalone
Performance Test Consultant,Genesis IT Recruitment,Testing & Quality Assurance,Full time job,Sydney NSW,[],"The Performance Test Consultant will optimise applications performance using LoadRunner, JMeter, Java, Azure, Big Data, Payments, and ETL processes.",$120K-$140K Base,5d ago,https://www.seek.com.au/job/80767184?type=standard&ref=search-standalone
Mobile Developer (iOS and Android),AYAN INFOTECH PTY LTD,Developers/Programmers,Full time job,Sydney NSW,[],"Ayan Infotech urgently needs a Mobile developer (iOS and Android) for an initial 6-month contract in Sydney or Melbourne, CBD - ongoing projects",Not Provided,5d ago,https://www.seek.com.au/job/80766929?type=standard&ref=search-standalone
Administration Officer,The University Of Notre Dame,Administrative Assistants,Part time job,Sydney NSW,[],"This position seeks to provide effective and efficient administrative support for the Rural Clinical School, School of Medicine.","$77,683 – $83,423 per year",5d ago,https://www.seek.com.au/job/80766911?type=standout&ref=search-standalone
People and Culture Administration Officer,Standards Australia Ltd,Administrative Assistants,Full time job,Sydney NSW,"['9-Day Fortnight & Hybrid Working', 'Not-for-profit, located near Wynyard and Circular Quay', 'Employer of Choice Award Winner 2023 and 2024']",Support the broader People & Culture team with a focus on HR and L&D.,Permanent role,5d ago,https://www.seek.com.au/job/80766563?type=standout&ref=search-standalone
Indirect Tax - Senior Consultant to Senior Manager,Maven Partners,Taxation,Full time job,Sydney NSW,"['Opportunities across Sydney, Melbourne & Brisbane', 'Hybrid working arrangements', 'Rapidly growing Indirect Tax practice']",Join a supportive team within a leading firm offering career progression and the freedom to shape your path in Indirect Tax,"$95,000 – $180,000 per year",5d ago,https://www.seek.com.au/job/80766522?type=standout&ref=search-standalone
Cyber Security Analyst,icare,Security,Full time job,Sydney NSW,"['Min 4 years of experience in Information Technology/Cyber Security domain.', 'Develop and executes security systems compliance policies and procedures.', 'Permanent Opportunity | Hybrid working | starting salary of $125,693']","Provide support to the Cyber Security Uplift Program to plan, manage and report on the successful delivery of icare’s projects.",Not Provided,5d ago,https://www.seek.com.au/job/80766532?type=standout&ref=search-standalone
Cyber Security Analyst,icare,Security,Full time job,Sydney NSW,"['Min 4 years of experience in Information Technology/Cyber Security domain.', 'Develop and executes security systems compliance policies and procedures.', 'Permanent Opportunity | Hybrid working | starting salary of $125,693']","Provide support to the Cyber Security Uplift Program to plan, manage and report on the successful delivery of icare’s projects.",Not Provided,5d ago,https://www.seek.com.au/job/80766533?type=standout&ref=search-standalone
Research Fellow in Oral Epidemiology,The University of Sydney,Other,Contract/Temp job,Sydney NSW,"['Research Fellow in Oral Epidemiology', 'University of Sydney', 'Higher Education']",Research Fellow in Oral Epidemiology,Not Provided,5d ago,https://www.seek.com.au/job/80766498?type=standout&ref=search-standalone
System Developer,Norwest Recruitment,Web Development & Production,Contract/Temp job,Wetherill Park,[],"•	Government Organisation - Wetherill Park  
•	Temporary full time – 35hour week
•	$350 per day + Super",$350 p/day + Super,5d ago,https://www.seek.com.au/job/80766229?type=standout&ref=search-standalone
Senior Cyber Security Reporting Analyst,icare,Security,Full time job,Sydney NSW,"['Min10 years in Information Technology/Cyber Security domain', 'Skilled in business process design, implementing business process change, & trai', 'Permanent Opportunity| Location - Sydney CBD | Hybrid working.']","Support Cyber Uplift Program Lead in planning, managing, and reporting on the successful projects’ delivery.",Not Provided,5d ago,https://www.seek.com.au/job/80766207?type=standout&ref=search-standalone
Media Effectiveness Manager,iProspect,"Media Strategy, Planning & Buying",Full time job,Sydney NSW,[],"Data in marketing and advertising communications is changing rapidly, as is the technology used to leverage it. As clients prepare for a data-led w...",Not Provided,5d ago,https://www.seek.com.au/job/80777668?type=standard&ref=search-standalone
"Manager, Educational Data & Insights",University of New South Wales,Management,Full time job,Kensington,[],"The role holds a pivotal position within the Educational Data & Insights team, part of the Deputy Vice Chancellor - Academic Quality portfolio.",Not Provided,5d ago,https://www.seek.com.au/job/80765683?type=standard&ref=search-standalone
Technical Business Analyst - Billing,Talenza,Business/Systems Analysts,Full time job,Sydney NSW,[],Talenza have been engaged by a global bank to source a Technical Business Analyst for a payments and billing program.,$750 - $800 p.d. + plus super,5d ago,https://www.seek.com.au/job/80764967?type=standard&ref=search-standalone
Senior Business Analyst - Payments & Controls,Talenza,Business/Systems Analysts,Full time job,Sydney NSW,[],Talenza have been engaged by a global bank to source a Senior Business Analyst for a payments program,$900 - $950 p.d. + plus super,5d ago,https://www.seek.com.au/job/80764567?type=standard&ref=search-standalone
Senior Cost Accountant,Core Talent,Management Accounting & Budgeting,Contract/Temp job,Wetherill Park,"['Hybrid working model', 'Nationally operating business', 'Fantastic exposure to the finance function']",Core Talent are excited to be partnering with an award winning distribution company who are seeking a Senior Cost Accountant to join their team.,$130k - $150k p.a. + plus Super,5d ago,https://www.seek.com.au/job/80764513?type=standout&ref=search-standalone
